"Year","Quarter","Expenditure"
1950,1,379
1950,2,457
1950,3,446
1950,4,479
1951,1,420
1951,2,470
1951,3,482
1951,4,476
1952,1,429
1952,2,496
1952,3,458
1952,4,435
1953,1,414
1953,2,487
1953,3,463
1953,4,457
1954,1,451
1954,2,507
1954,3,476
1954,4,465
1955,1,434
1955,2,502
1955,3,509
1955,4,523
1956,1,472
1956,2,509
1956,3,517
1956,4,511
1957,1,475
1957,2,538
1957,3,542
1957,4,479
1958,1,473
1958,2,522
1958,3,520
1958,4,512
1959,1,503
1959,2,549
1959,3,523
1959,4,527
1960,1,492
1960,2,525
1960,3,495
1960,4,517
1961,1,509
1961,2,563
1961,3,586
1961,4,578
1962,1,537
1962,2,580
1962,3,560
1962,4,533
1963,1,530
1963,2,587
1963,3,567
1963,4,552
1964,1,560
1964,2,618
1964,3,587
1964,4,569
1965,1,556
1965,2,620
1965,3,610
1965,4,609
1966,1,578
1966,2,616
1966,3,619
1966,4,636
1967,1,593
1967,2,697
1967,3,673
1967,4,658
1968,1,580
1968,2,661
1968,3,635
1968,4,638
1969,1,598
1969,2,649
1969,3,611
1969,4,599
1970,1,628
1970,2,680
1970,3,661
1970,4,696
1971,1,621
1971,2,692
1971,3,703
1971,4,649
1972,1,629
1972,2,668
1972,3,654
1972,4,671
1973,1,630
1973,2,731
1973,3,681
1973,4,677
1974,1,647
1974,2,701
1974,3,712
1974,4,698
1975,1,667
1975,2,717
1975,3,689
1975,4,719
1976,1,655
1976,2,697
1976,3,714
1976,4,686
1977,1,669
1977,2,702
1977,3,670
1977,4,693
1978,1,668
1978,2,724
1978,3,729
1978,4,689
1979,1,655
1979,2,734
1979,3,721
1979,4,738
1980,1,732
1980,2,736
1980,3,721
1980,4,728
1981,1,700
1981,2,769
1981,3,760
1981,4,744
1982,1,715
1982,2,756
1982,3,787
1982,4,760
1983,1,755
1983,2,802
1983,3,807
1983,4,774
1984,1,732
1984,2,803
1984,3,762
1984,4,762
1985,1,747
1985,2,765
1985,3,768
1985,4,771
1986,1,747
1986,2,797
1986,3,758
1986,4,768
1987,1,783
1987,2,809
1987,3,816
1987,4,795
1988,1,760
1988,2,809
1988,3,811
1988,4,804
1989,1,779
1989,2,810
1989,3,820
1989,4,802
1990,1,784
1990,2,825
1990,3,821
1990,4,817
1991,1,769
1991,2,822
1991,3,845
1991,4,810
1992,1,797
1992,2,868
1992,3,837
1992,4,787
1993,1,740
1993,2,849
1993,3,823
1993,4,846
1994,1,826
1994,2,899
1994,3,878
1994,4,863
1995,1,819
1995,2,890
1995,3,845
1995,4,894
1996,1,835
1996,2,883
1996,3,839
1996,4,845
1997,1,816
1997,2,882
1997,3,869
1997,4,865
1998,1,868
1998,2,919
1998,3,885
1998,4,853
1999,1,820
1999,2,879
1999,3,892
1999,4,884
2000,1,836
2000,2,871
2000,3,879
2000,4,849
2001,1,838
2001,2,891
2001,3,897
2001,4,875
2002,1,843
2002,2,903
2002,3,892
2002,4,894
2003,1,849
2003,2,867
2003,3,900
2003,4,888
2004,1,887
2004,2,903
2004,3,914
2004,4,898
2005,1,871
2005,2,919
2005,3,955
2005,4,936
2006,1,907
2006,2,927
2006,3,920
2006,4,911
2007,1,880
2007,2,956
2007,3,934
2007,4,911
2008,1,907
2008,2,975
2008,3,945
2008,4,925
2009,1,901
2009,2,960
2009,3,968
2009,4,922
2010,1,918
2010,2,982
2010,3,949
2010,4,922
2011,1,933
2011,2,962
2011,3,948
2011,4,944
2012,1,927
2012,2,984
2012,3,955
2012,4,934
2013,1,908
2013,2,1004
2013,3,964
2013,4,928
2014,1,948
2014,2,980
2014,3,972
2014,4,983
2015,1,976
2015,2,1010
2015,3,996
2015,4,949
2016,1,927
2016,2,984
2016,3,970
2016,4,977
2017,1,946
2017,2,993
2017,3,978
2017,4,975
2018,1,919
2018,2,996
2018,3,955
2018,4,965
2019,1,921
2019,2,1028
2019,3,1010
2019,4,977
2020,1,943
2020,2,995
2020,3,983
2020,4,980
